#,Código,Endereço,Bairro,Latitude,Longitude,Foto,Croqui
2345,CAM-075,"Rua Major Heitor Guimarães, 1926 - Campina do Siqueira",Campina do Siqueira,"-25,4363204","-49,3129208",Ver foto,ver croqui
2346,SEM-122,"Rua Major Heitor Guimarães, 1644 - Seminário",Seminário,"-25,4378512","-49,3113061",Ver foto,ver croqui
2347,CAM-076,"Rua Francisco Nadolny, 481 - Campina do Siqueira",Campina do Siqueira,"-25,4367806","-49,3137952",Ver foto,ver croqui
2348,MOS-002,"Rua Professor Pedro Viriato Parigot de Souza, 159 - Mossunguê",Mossunguê,"-25,4359425","-49,3100776",Ver foto,ver croqui
2349,MOS-003,"Rua Professor Pedro Viriato Parigot de Souza, 5 - Mossunguê",Mossunguê,"-25,435521","-49,309037",Ver foto,ver croqui
2350,CAM-077,"Rua General Mário Tourinho, 2220 - Campina do Siqueira",Campina do Siqueira,"-25,4337383","-49,3107858",Ver foto,ver croqui
2351,BIG-152,"Rua Jerônimo Durski, 1920 - Bigorrilho",Bigorrilho,"-25,4340822","-49,3091228",Ver foto,ver croqui
2352,CAM-078,"Rua Engenheiro Serafim Voloschen, 77 - Campina do Siqueira",Campina do Siqueira,"-25,4346975","-49,3104907",Ver foto,ver croqui
2353,CAM-079,"Rua Francisco Nadolny, 93 - Campina do Siqueira",Campina do Siqueira,"-25,4343438","-49,3114295",Ver foto,ver croqui
2354,SEM-123,"Rua General Mário Tourinho, 2055 - Seminário",Seminário,"-25,4349009","-49,3096378",Ver foto,ver croqui
2355,MOS-004,"Rua Professor Pedro Viriato Parigot de Souza, 817 - Mossunguê",Mossunguê,"-25,4363985","-49,316432",Ver foto,ver croqui
2356,SAN-056,"Rua Batista Ganz, 189 - Santo Inácio",Santo Inácio,"-25,4290793","-49,3168125",Ver foto,ver croqui
2357,SAN-057,"Rua Batista Ganz, 430 - Santo Inácio",Santo Inácio,"-25,4289973","-49,3157245",Ver foto,ver croqui
2358,SAN-058,"Rua Batista Ganz, 515 - Santo Inácio",Santo Inácio,"-25,4287793","-49,3149145",Ver foto,ver croqui
2359,SAN-059,"Rua Cidade de Cusco, 105 - Santo Inácio",Santo Inácio,"-25,4280018","-49,3147964",Ver foto,ver croqui
2360,SAN-060,"Alameda Ecologica Burle Marx, 2518 - Santo Inácio",Santo Inácio,"-25,4275032","-49,3140915",Ver foto,ver croqui
2361,SAN-061,"Alameda Ecologica Burle Marx, 650 - Santo Inácio",Santo Inácio,"-25,4270817","-49,3130669",Ver foto,ver croqui
2362,MER-162,"Avenida Manoel Ribas, 3125 - Mercês",Mercês,"-25,414655","-49,3056587",Ver foto,ver croqui
2363,MER-163,"Avenida Manoel Ribas, 2881 - Mercês",Mercês,"-25,4149263","-49,303572",Ver foto,ver croqui
2364,JAR-079,"Avenida Doutor Dário Lopes dos Santos, 420-672 - Jardim Botânico",Jardim Botânico,"-25,4381088","-49,2557941",Ver foto,ver croqui
2365,JAR-080,"Avenida Doutor Dario Lopes dos Santos, 419-671 - Jardim Botânico",Jardim Botânico,"-25,4374451","-49,2548767",Ver foto,ver croqui
2366,JAR-081,"Avenida Doutor Dario Lopes dos Santos, 105 - Jardim Botânico",Jardim Botânico,"-25,4369631","-49,2543403",Ver foto,ver croqui
2367,JAR-082,"Avenida Comendador Franco, 6 - Jardim Botânico",Jardim Botânico,"-25,436553","-49,2539335",Ver foto,ver croqui
2368,JAR-083,"Avenida Doutor Dário Lopes dos Santos, 822 - Jardim Botânico",Jardim Botânico,"-25,4362768","-49,253617",Ver foto,ver croqui
2369,JAR-084,"Avenida Prefeito Omar Sabbag, 195 - Jardim Botânico",Jardim Botânico,"-25,4360201","-49,2529304",Ver foto,ver croqui
2370,CRI-033,"Avenida Presidente Affonso Camargo, 763 - Cristo Rei",Cristo Rei,"-25,4354586","-49,2525682",Ver foto,ver croqui
2371,CRI-034,"Avenida Presidente Affonso Camargo, 711 - Cristo Rei",Cristo Rei,"-25,4354634","-49,2530081",Ver foto,ver croqui
2372,CRI-035,"Avenida Presidente Affonso Camargo, 801 - Cristo Rei",Cristo Rei,"-25,4354465","-49,2520774",Ver foto,ver croqui
2373,CRI-036,"Avenida Presidente Affonso Camargo, 831 - Cristo Rei",Cristo Rei,"-25,4354465","-49,2517126",Ver foto,ver croqui
2374,CRI-037,"Avenida Presidente Affonso Camargo, 881 - Cristo Rei",Cristo Rei,"-25,4354465","-49,2513505",Ver foto,ver croqui
2375,CRI-038,"Avenida Presidente Affonso Camargo, 919 - Cristo Rei",Cristo Rei,"-25,4354489","-49,2509428",Ver foto,ver croqui
2376,CRI-039,"Avenida Presidente Affonso Camargo, 955 - Cristo Rei",Cristo Rei,"-25,4354392","-49,2504171",Ver foto,ver croqui
2377,CRI-040,"Rua Padre Germano Mayer, 33 - Cristo Rei",Cristo Rei,"-25,4354707","-49,2498431",Ver foto,ver croqui
2378,JAR-085,"Rua Engenheiro Leão Sounis, 202 - Jardim Botânico",Jardim Botânico,"-25,4360157","-49,2524529",Ver foto,ver croqui
2379,JAR-086,"Rua Engenheiro Leão Sounis, 202 - Jardim Botânico",Jardim Botânico,"-25,4360012","-49,2519164",Ver foto,ver croqui
2380,JAR-087,"Avenida Doutor Dario Lopes dos Santos, 1100 - Jardim Botânico",Jardim Botânico,"-25,436006","-49,2515168",Ver foto,ver croqui
2381,CRI-041,"Rua Schiller, 1 - Cristo Rei",Cristo Rei,"-25,4360302","-49,251101",Ver foto,ver croqui
2382,CRI-042,"Rua Schiller, 1 - Cristo Rei",Cristo Rei,"-25,4360157","-49,2506478",Ver foto,ver croqui
2383,JAR-088,"Rua Leopoldo Duarte, 531 - Jardim Botânico",Jardim Botânico,"-25,435989","-49,2500174",Ver foto,ver croqui
2384,JAR-089,"Rua Hildebrando de Araújo, 85 - Jardim Botânico",Jardim Botânico,"-25,436052","-49,2492691",Ver foto,ver croqui
2385,CRI-043,"Avenida Presidente Affonso Camargo, 1061 - Cristo Rei",Cristo Rei,"-25,4355143","-49,2493281",Ver foto,ver croqui
2386,JAR-090,"Rua São Januário, 6 - Jardim Botânico",Jardim Botânico,"-25,4362143","-49,24873",Ver foto,ver croqui
2387,CRI-044,"Avenida São José, 6 - Cristo Rei",Cristo Rei,"-25,4355773","-49,2487327",Ver foto,ver croqui
2388,CRI-045,"Avenida São José, 199 - Cristo Rei",Cristo Rei,"-25,4355434","-49,2481184",Ver foto,ver croqui
2389,CRI-046,"Avenida São José, 199 - Cristo Rei",Cristo Rei,"-25,4355821","-49,2475069",Ver foto,ver croqui
2390,CRI-047,"Avenida Presidente Affonso Camargo, 1399 - Cristo Rei",Cristo Rei,"-25,435461","-49,2471448",Ver foto,ver croqui
2391,JAR-091,"Rua São Januário, 55 - Jardim Botânico",Jardim Botânico,"-25,4363645","-49,2481855",Ver foto,ver croqui
2392,JAR-092,"Rua São Januário, 55 - Jardim Botânico",Jardim Botânico,"-25,4364949","-49,2477257",Ver foto,ver croqui
2393,JAR-093,"Rua São Joaquim, 25 - Jardim Botânico",Jardim Botânico,"-25,4366475","-49,2472858",Ver foto,ver croqui
2394,JAR-094,"Rua Engenheiro Rebouças, 2 - Jardim Botânico",Jardim Botânico,"-25,4368825","-49,2466823",Ver foto,ver croqui
2395,JAR-095,"Rua Engenheiro Rebouças, 31 - Jardim Botânico",Jardim Botânico,"-25,437161","-49,246111",Ver foto,ver croqui
2396,CRI-048,"Avenida São José, 300 - Cristo Rei",Cristo Rei,"-25,4354461","-49,2467091",Ver foto,ver croqui
2397,CRI-049,"Avenida Presidente Affonso Camargo, 1399 - Cristo Rei",Cristo Rei,"-25,4354776","-49,2463417",Ver foto,ver croqui
2398,CRI-050,"Rua Fioravante Dalla Stella, 381-437 - Cristo Rei",Cristo Rei,"-25,4353613","-49,246001",Ver foto,ver croqui
2399,CRI-051,"Avenida São José, 300 - Cristo Rei",Cristo Rei,"-25,4353129","-49,2456014",Ver foto,ver croqui
2400,CRI-052,"Avenida São José, 300 - Cristo Rei",Cristo Rei,"-25,4353856","-49,2452339",Ver foto,ver croqui
2401,JAR-096,"Avenida Presidente Affonso Camargo, 1544 - Jardim Botânico",Jardim Botânico,"-25,4373318","-49,2455335",Ver foto,ver croqui
2402,REB-277,"Rua Brasílio Itiberê, 30 - Rebouças",Rebouças,"-25,4375086","-49,2448791",Ver foto,ver croqui
2403,JAR-097,"Praça Hayão Washida, 21 - Jardim Botânico",Jardim Botânico,"-25,4377048","-49,2443855",Ver foto,ver croqui
2404,JAR-098,"Rua Sant'Ana, 896 - Jardim Botânico",Jardim Botânico,"-25,4379954","-49,2436989",Ver foto,ver croqui
2405,JAR-099,"Avenida Doutor Dario Lopes dos Santos, 1911 - Jardim Botânico",Jardim Botânico,"-25,438215","-49,2431656",Ver foto,ver croqui
2406,JAR-100,"Avenida Doutor Dario Lopes dos Santos, 1981 - Jardim Botânico",Jardim Botânico,"-25,4383821","-49,242538",Ver foto,ver croqui
2407,JAR-101,"Avenida Doutor Dario Lopes dos Santos, 58 - Jardim Botânico",Jardim Botânico,"-25,438651","-49,2420686",Ver foto,ver croqui
2408,JAR-102,"Avenida Doutor Dario Lopes dos Santos, 2220 - Jardim Botânico",Jardim Botânico,"-25,4386655","-49,2415187",Ver foto,ver croqui
2409,JAR-103,"Avenida Doutor Dario Lopes dos Santos, 265 - Jardim Botânico",Jardim Botânico,"-25,4386934","-49,2408835",Ver foto,ver croqui
2410,JAR-104,"Avenida Doutor Dario Lopes dos Santos, 2336 - Jardim Botânico",Jardim Botânico,"-25,4389598","-49,2405884",Ver foto,ver croqui
2411,JAR-105,"Avenida Doutor Dario Lopes dos Santos, 2232 - Jardim Botânico",Jardim Botânico,"-25,4392359","-49,2400144",Ver foto,ver croqui
2412,JAR-106,"Rua Lourenço José Tiepolo, 153 - Jardim Botânico",Jardim Botânico,"-25,4385747","-49,2402826",Ver foto,ver croqui
2413,JAR-107,"Rua Lourenço José Tiepolo, 100 - Jardim Botânico",Jardim Botânico,"-25,4383373","-49,2397757",Ver foto,ver croqui
2414,JAR-108,"Rua Engenheiro Ostoja Roguski, 443 - Jardim Botânico",Jardim Botânico,"-25,4391269","-49,2384131",Ver foto,ver croqui
2415,JAR-109,"Avenida Doutor Dario Lopes dos Santos, 2331 - Jardim Botânico",Jardim Botânico,"-25,4398172","-49,2392205",Ver foto,ver croqui
2416,JAR-110,"Avenida Doutor Dario Lopes dos Santos, 2331 - Jardim Botânico",Jardim Botânico,"-25,439962","-49,2393191",Ver foto,ver croqui
2417,JAR-111,"Rua Doutor Corrêa Coelho, 770 - Jardim Botânico",Jardim Botânico,"-25,4404198","-49,2398341",Ver foto,ver croqui
2418,JAR-112,"Rua Doutor Corrêa Coelho, 770 - Jardim Botânico",Jardim Botânico,"-25,4405236","-49,2399503",Ver foto,ver croqui
2419,JAR-113,"Rua São Joaquim, 937 - Jardim Botânico",Jardim Botânico,"-25,4410395","-49,240527",Ver foto,ver croqui
2420,JAR-114,"Rua Engenheiro Ostoja Roguski, 171 - Jardim Botânico",Jardim Botânico,"-25,4415627","-49,2411492",Ver foto,ver croqui
2421,JAR-115,"Rua Engenheiro Ostoja Roguski, 305 - Jardim Botânico",Jardim Botânico,"-25,4418073","-49,2413906",Ver foto,ver croqui
2422,JAR-116,"Rua Hildebrando de Araújo, 1145 - Jardim Botânico",Jardim Botânico,"-25,4422094","-49,2418252",Ver foto,ver croqui
2423,JAR-117,"Rua Hildebrando de Araújo, 1134 - Jardim Botânico",Jardim Botânico,"-25,4423794","-49,242061",Ver foto,ver croqui
2424,JAR-118,"Rua Coronel João da Silva Sampaio, 692 - Jardim Botânico",Jardim Botânico,"-25,4428106","-49,2424177",Ver foto,ver croqui
2425,JAR-119,"Rua Doutor Jorge Meyer Filho, 193 - Jardim Botânico",Jardim Botânico,"-25,4434427","-49,2427235",Ver foto,ver croqui
2426,JAR-120,"Rua Doutor Jorge Meyer Filho, 250 - Jardim Botânico",Jardim Botânico,"-25,4437479","-49,2424418",Ver foto,ver croqui
2427,JAR-121,"Rua Doutor Jorge Meyer Filho, 193 - Jardim Botânico",Jardim Botânico,"-25,4434209","-49,243099",Ver foto,ver croqui
2428,JAR-122,"Avenida Prefeito Maurício Fruet, 156 - Jardim Botânico",Jardim Botânico,"-25,4422207","-49,2342701",Ver foto,ver croqui
2429,JAR-123,"Avenida Prefeito Maurício Fruet, 550 - Jardim Botânico",Jardim Botânico,"-25,4421699","-49,2350399",Ver foto,ver croqui
